"index","Type","subcategory"
47942,"EMS","ALLERGIC REACTION"
47943,"EMS","MEDICAL ALERT ALARM"
47944,"Fire","FIRE ALARM"
47945,"Traffic","VEHICLE ACCIDENT -"
47946,"EMS","SEIZURES"
47947,"EMS","UNRESPONSIVE SUBJECT"
47948,"EMS","OVERDOSE"
47949,"EMS","HEAD INJURY"
47950,"EMS","CARDIAC EMERGENCY"
47951,"Traffic","DISABLED VEHICLE -"
47952,"EMS","HEAD INJURY"
47953,"Traffic","DISABLED VEHICLE -"
47954,"EMS","CVA/STROKE"
47955,"EMS","SUBJECT IN PAIN"
47956,"EMS","SUBJECT IN PAIN"
47957,"EMS","ASSAULT VICTIM"
47958,"Fire","FIRE INVESTIGATION"
47959,"EMS","ASSAULT VICTIM"
47960,"EMS","VEHICLE ACCIDENT"
47961,"Traffic","VEHICLE ACCIDENT -"
47962,"EMS","SUBJECT IN PAIN"
47963,"Fire","FIRE ALARM"
47964,"Traffic","DISABLED VEHICLE -"
47965,"EMS","FALL VICTIM"
47966,"Traffic","VEHICLE ACCIDENT -"
47967,"Traffic","VEHICLE ACCIDENT -"
47968,"EMS","CARDIAC EMERGENCY"
47969,"EMS","CARDIAC EMERGENCY"
47970,"Traffic","VEHICLE ACCIDENT -"
47971,"Traffic","VEHICLE ACCIDENT -"
47972,"Traffic","VEHICLE ACCIDENT -"
47973,"EMS","ASSAULT VICTIM"
47974,"EMS","NAUSEA/VOMITING"
47975,"Traffic","VEHICLE ACCIDENT -"
47976,"EMS","CARDIAC EMERGENCY"
47977,"EMS","OVERDOSE"
47978,"EMS","FEVER"
47979,"EMS","CARDIAC ARREST"
47980,"Traffic","DISABLED VEHICLE -"
47981,"Fire","CARDIAC ARREST"
47982,"Fire","FIRE ALARM"
47983,"EMS","CVA/STROKE"
47984,"EMS","HEAD INJURY"
47985,"EMS","FALL VICTIM"
47986,"EMS","SUBJECT IN PAIN"
47987,"EMS","BACK PAINS/INJURY"
47988,"EMS","FALL VICTIM"
47989,"EMS","MEDICAL ALERT ALARM"
47990,"Fire","UNKNOWN TYPE FIRE"
47991,"Traffic","DISABLED VEHICLE -"
47992,"EMS","RESPIRATORY EMERGENCY"
47993,"EMS","DIZZINESS"
47994,"EMS","CARDIAC EMERGENCY"
47995,"Traffic","VEHICLE ACCIDENT -"
47996,"Traffic","DISABLED VEHICLE -"
47997,"EMS","CARDIAC ARREST"
47998,"EMS","CARDIAC EMERGENCY"
47999,"EMS","UNCONSCIOUS SUBJECT"
48000,"Traffic","VEHICLE ACCIDENT -"
48001,"Fire","VEHICLE ACCIDENT"
48002,"EMS","VEHICLE ACCIDENT"
48003,"Traffic","VEHICLE ACCIDENT -"
48004,"EMS","CARDIAC EMERGENCY"
48005,"Traffic","VEHICLE ACCIDENT -"
48006,"Fire","APPLIANCE FIRE"
48007,"Fire","FIRE ALARM"
48008,"EMS","NAUSEA/VOMITING"
48009,"Traffic","VEHICLE ACCIDENT -"
48010,"EMS","HEMORRHAGING"
48011,"EMS","UNCONSCIOUS SUBJECT"
48012,"EMS","FALL VICTIM"
48013,"EMS","CARDIAC EMERGENCY"
48014,"Traffic","DISABLED VEHICLE -"
48015,"EMS","ABDOMINAL PAINS"
48016,"EMS","RESPIRATORY EMERGENCY"
48017,"EMS","OVERDOSE"
48018,"EMS","OVERDOSE"
48019,"Traffic","VEHICLE ACCIDENT -"
48020,"EMS","OVERDOSE"
48021,"Fire","VEHICLE ACCIDENT"
48022,"EMS","VEHICLE ACCIDENT"
48023,"Traffic","DISABLED VEHICLE -"
48024,"Fire","BUILDING FIRE"
48025,"EMS","BUILDING FIRE"
48026,"Fire","FIRE ALARM"
48027,"Fire","FIRE ALARM"
48028,"Traffic","DISABLED VEHICLE -"
48029,"EMS","BACK PAINS/INJURY"
48030,"EMS","ASSAULT VICTIM"
48031,"EMS","HEMORRHAGING"
48032,"EMS","HEMORRHAGING"
48033,"EMS","NAUSEA/VOMITING"
48034,"EMS","CVA/STROKE"
48035,"EMS","DIABETIC EMERGENCY"
48036,"Traffic","DISABLED VEHICLE -"
48037,"EMS","DIZZINESS"
48038,"EMS","FALL VICTIM"
48039,"EMS","DIZZINESS"
48040,"EMS","RESPIRATORY EMERGENCY"
48041,"EMS","ABDOMINAL PAINS"
48042,"EMS","CARDIAC EMERGENCY"
48043,"EMS","GENERAL WEAKNESS"
48044,"EMS","OVERDOSE"
48045,"EMS","SUBJECT IN PAIN"
48046,"Fire","FIRE ALARM"
48047,"EMS","CARDIAC EMERGENCY"
48048,"Traffic","VEHICLE ACCIDENT -"
48049,"EMS","FALL VICTIM"
48050,"EMS","ABDOMINAL PAINS"
48051,"Fire","FIRE ALARM"
48052,"EMS","OVERDOSE"
48053,"EMS","CARDIAC EMERGENCY"
48054,"EMS","OVERDOSE"
48055,"EMS","FALL VICTIM"
48056,"Fire","FIRE ALARM"
48057,"EMS","HEAD INJURY"
48058,"EMS","CARDIAC EMERGENCY"
48059,"EMS","ABDOMINAL PAINS"
48060,"EMS","UNCONSCIOUS SUBJECT"
48061,"EMS","BACK PAINS/INJURY"
48062,"EMS","SYNCOPAL EPISODE"
48063,"EMS","CARDIAC EMERGENCY"
48064,"Fire","ELECTRICAL FIRE OUTSIDE"
48065,"EMS","GENERAL WEAKNESS"
48066,"EMS","SYNCOPAL EPISODE"
48067,"Fire","FIRE ALARM"
48068,"EMS","HEMORRHAGING"
48069,"EMS","UNKNOWN MEDICAL EMERGENCY"
48070,"EMS","ABDOMINAL PAINS"
48071,"EMS","GENERAL WEAKNESS"
48072,"EMS","SUBJECT IN PAIN"
48073,"EMS","CARDIAC EMERGENCY"
48074,"Fire","BUILDING FIRE"
48075,"EMS","BUILDING FIRE"
48076,"EMS","RESPIRATORY EMERGENCY"
48077,"Fire","BUILDING FIRE"
48078,"EMS","BACK PAINS/INJURY"
48079,"Traffic","VEHICLE ACCIDENT -"
48080,"Fire","FIRE ALARM"
48081,"EMS","NAUSEA/VOMITING"
48082,"EMS","DIABETIC EMERGENCY"
48083,"EMS","SUBJECT IN PAIN"
48084,"EMS","SYNCOPAL EPISODE"
48085,"EMS","UNCONSCIOUS SUBJECT"
48086,"EMS","FEVER"
48087,"EMS","SUBJECT IN PAIN"
48088,"EMS","FALL VICTIM"
48089,"EMS","UNKNOWN MEDICAL EMERGENCY"
48090,"Traffic","DISABLED VEHICLE -"
48091,"EMS","SEIZURES"
48092,"Traffic","VEHICLE ACCIDENT -"
48093,"Traffic","VEHICLE ACCIDENT -"
48094,"EMS","ALTERED MENTAL STATUS"
48095,"Traffic","VEHICLE ACCIDENT -"
48096,"Fire","APPLIANCE FIRE"
48097,"Traffic","DISABLED VEHICLE -"
48098,"Fire","FIRE ALARM"
48099,"EMS","SYNCOPAL EPISODE"
48100,"Traffic","DISABLED VEHICLE -"
48101,"Traffic","VEHICLE ACCIDENT -"
48102,"EMS","RESPIRATORY EMERGENCY"
48103,"Traffic","VEHICLE ACCIDENT -"
48104,"Traffic","VEHICLE ACCIDENT -"
48105,"EMS","VEHICLE ACCIDENT"
48106,"Fire","VEHICLE ACCIDENT"
48107,"Traffic","DISABLED VEHICLE -"
48108,"Traffic","VEHICLE ACCIDENT -"
48109,"Traffic","VEHICLE ACCIDENT -"
48110,"Traffic","VEHICLE ACCIDENT -"
48111,"EMS","RESPIRATORY EMERGENCY"
48112,"EMS","NAUSEA/VOMITING"
48113,"EMS","VEHICLE ACCIDENT"
48114,"EMS","SUBJECT IN PAIN"
48115,"Traffic","VEHICLE ACCIDENT -"
48116,"EMS","FALL VICTIM"
48117,"Traffic","VEHICLE ACCIDENT -"
48118,"Traffic","VEHICLE ACCIDENT -"
48119,"Fire","TRASH/DUMPSTER FIRE"
48120,"Traffic","VEHICLE ACCIDENT -"
48121,"EMS","SEIZURES"
48122,"Traffic","VEHICLE ACCIDENT -"
48123,"Traffic","VEHICLE ACCIDENT -"
48124,"Traffic","VEHICLE ACCIDENT -"
48125,"EMS","FALL VICTIM"
48126,"Traffic","VEHICLE ACCIDENT -"
48127,"Traffic","VEHICLE ACCIDENT -"
48128,"EMS","FALL VICTIM"
48129,"EMS","FALL VICTIM"
48130,"Traffic","VEHICLE ACCIDENT -"
48131,"EMS","SEIZURES"
48132,"Traffic","VEHICLE ACCIDENT -"
48133,"EMS","FALL VICTIM"
48134,"Traffic","VEHICLE ACCIDENT -"
48135,"Fire","FIRE ALARM"
48136,"EMS","CARDIAC EMERGENCY"
48137,"EMS","RESPIRATORY EMERGENCY"
48138,"Fire","CARBON MONOXIDE DETECTOR"
48139,"Fire","VEHICLE ACCIDENT"
48140,"Traffic","VEHICLE ACCIDENT -"
48141,"Traffic","VEHICLE ACCIDENT -"
48142,"Fire","VEHICLE ACCIDENT"
48143,"EMS","VEHICLE ACCIDENT"
48144,"Traffic","VEHICLE ACCIDENT -"
48145,"Traffic","VEHICLE ACCIDENT -"
48146,"Traffic","VEHICLE ACCIDENT -"
48147,"EMS","FALL VICTIM"
48148,"EMS","CARDIAC EMERGENCY"
48149,"EMS","CARDIAC EMERGENCY"
48150,"EMS","RESPIRATORY EMERGENCY"
48151,"EMS","FALL VICTIM"
48152,"EMS","UNKNOWN MEDICAL EMERGENCY"
48153,"EMS","RESPIRATORY EMERGENCY"
48154,"EMS","SUBJECT IN PAIN"
48155,"Fire","FIRE ALARM"
48156,"EMS","FALL VICTIM"
48157,"Traffic","DISABLED VEHICLE -"
48158,"EMS","HEMORRHAGING"
48159,"EMS","VEHICLE ACCIDENT"
48160,"Traffic","VEHICLE ACCIDENT -"
48161,"Traffic","VEHICLE ACCIDENT -"
48162,"EMS","GENERAL WEAKNESS"
48163,"EMS","HEMORRHAGING"
48164,"Traffic","VEHICLE ACCIDENT -"
48165,"Traffic","VEHICLE ACCIDENT -"
48166,"EMS","MEDICAL ALERT ALARM"
48167,"EMS","CVA/STROKE"
48168,"EMS","DIABETIC EMERGENCY"
48169,"Traffic","VEHICLE ACCIDENT -"
48170,"EMS","CARDIAC ARREST"
48171,"EMS","HEAD INJURY"
48172,"EMS","UNKNOWN MEDICAL EMERGENCY"
48173,"Traffic","VEHICLE ACCIDENT -"
48174,"EMS","RESPIRATORY EMERGENCY"
48175,"Traffic","VEHICLE ACCIDENT -"
48176,"Traffic","VEHICLE ACCIDENT -"
48177,"EMS","CARDIAC EMERGENCY"
48178,"EMS","RESPIRATORY EMERGENCY"
48179,"EMS","VEHICLE ACCIDENT"
48180,"Traffic","VEHICLE ACCIDENT -"
48181,"Traffic","VEHICLE ACCIDENT -"
48182,"EMS","FALL VICTIM"
48183,"Traffic","VEHICLE ACCIDENT -"
48184,"EMS","MEDICAL ALERT ALARM"
48185,"EMS","NAUSEA/VOMITING"
48186,"EMS","RESPIRATORY EMERGENCY"
48187,"EMS","RESPIRATORY EMERGENCY"
48188,"Traffic","VEHICLE ACCIDENT -"
48189,"Traffic","VEHICLE ACCIDENT -"
48190,"Traffic","DISABLED VEHICLE -"
48191,"EMS","FALL VICTIM"
48192,"Traffic","VEHICLE ACCIDENT -"
48193,"EMS","GENERAL WEAKNESS"
48194,"EMS","SUBJECT IN PAIN"
48195,"Traffic","VEHICLE ACCIDENT -"
48196,"Traffic","VEHICLE ACCIDENT -"
48197,"Fire","FIRE ALARM"
48198,"Traffic","DISABLED VEHICLE -"
48199,"EMS","CVA/STROKE"
48200,"Traffic","DISABLED VEHICLE -"
48201,"EMS","RESPIRATORY EMERGENCY"
48202,"EMS","EMS SPECIAL SERVICE"
48203,"EMS","CARDIAC EMERGENCY"
48204,"EMS","SUBJECT IN PAIN"
48205,"Fire","VEHICLE ACCIDENT"
48206,"EMS","RESPIRATORY EMERGENCY"
48207,"EMS","VEHICLE ACCIDENT"
48208,"Traffic","VEHICLE ACCIDENT -"
48209,"EMS","FALL VICTIM"
48210,"EMS","SEIZURES"
48211,"Fire","FIRE INVESTIGATION"
48212,"EMS","RESPIRATORY EMERGENCY"
48213,"Traffic","VEHICLE ACCIDENT -"
48214,"Traffic","VEHICLE ACCIDENT -"
48215,"EMS","HEMORRHAGING"
48216,"Traffic","VEHICLE ACCIDENT -"
48217,"Traffic","VEHICLE ACCIDENT -"
48218,"EMS","BACK PAINS/INJURY"
48219,"EMS","DIZZINESS"
48220,"Fire","VEHICLE ACCIDENT"
48221,"EMS","GENERAL WEAKNESS"
48222,"EMS","VEHICLE ACCIDENT"
48223,"Traffic","VEHICLE ACCIDENT -"
48224,"EMS","CARDIAC EMERGENCY"
48225,"Traffic","VEHICLE ACCIDENT -"
48226,"Fire","FIRE ALARM"
48227,"EMS","FRACTURE"
48228,"EMS","RESPIRATORY EMERGENCY"
48229,"EMS","FALL VICTIM"
48230,"EMS","FALL VICTIM"
48231,"Fire","FIRE ALARM"
48232,"Traffic","VEHICLE ACCIDENT -"
48233,"Traffic","VEHICLE ACCIDENT -"
48234,"Traffic","VEHICLE ACCIDENT -"
48235,"EMS","RESPIRATORY EMERGENCY"
48236,"EMS","SYNCOPAL EPISODE"
48237,"EMS","CARDIAC EMERGENCY"
48238,"Traffic","VEHICLE ACCIDENT -"
48239,"Traffic","VEHICLE ACCIDENT -"
48240,"EMS","CARDIAC ARREST"
48241,"Traffic","VEHICLE ACCIDENT -"
48242,"Traffic","VEHICLE ACCIDENT -"
48243,"Traffic","VEHICLE ACCIDENT -"
48244,"EMS","HEAD INJURY"
48245,"EMS","RESPIRATORY EMERGENCY"
48246,"Traffic","DISABLED VEHICLE -"
48247,"EMS","ABDOMINAL PAINS"
48248,"EMS","ABDOMINAL PAINS"
48249,"Fire","FIRE ALARM"
48250,"EMS","HEAD INJURY"
48251,"EMS","DEHYDRATION"
48252,"EMS","CARDIAC EMERGENCY"
48253,"Fire","GAS-ODOR/LEAK"
48254,"Traffic","DISABLED VEHICLE -"
48255,"EMS","ABDOMINAL PAINS"
48256,"EMS","CARDIAC EMERGENCY"
48257,"EMS","HEAD INJURY"
48258,"Traffic","DISABLED VEHICLE -"
48259,"Fire","GAS-ODOR/LEAK"
48260,"EMS","VEHICLE ACCIDENT"
48261,"Traffic","DISABLED VEHICLE -"
48262,"Traffic","VEHICLE ACCIDENT -"
48263,"Fire","BUILDING FIRE"
48264,"EMS","CARDIAC EMERGENCY"
48265,"EMS","GENERAL WEAKNESS"
48266,"EMS","RESPIRATORY EMERGENCY"
48267,"Traffic","VEHICLE ACCIDENT -"
48268,"EMS","CARDIAC EMERGENCY"
48269,"EMS","SEIZURES"
48270,"Traffic","DISABLED VEHICLE -"
48271,"Fire","FIRE ALARM"
48272,"EMS","MEDICAL ALERT ALARM"
48273,"EMS","UNCONSCIOUS SUBJECT"
48274,"Traffic","VEHICLE ACCIDENT -"
48275,"EMS","ALTERED MENTAL STATUS"
48276,"Fire","GAS-ODOR/LEAK"
48277,"EMS","DIZZINESS"
48278,"Traffic","VEHICLE ACCIDENT -"
48279,"EMS","ALTERED MENTAL STATUS"
48280,"Traffic","DISABLED VEHICLE -"
48281,"Traffic","VEHICLE ACCIDENT -"
48282,"EMS","RESPIRATORY EMERGENCY"
48283,"EMS","RESPIRATORY EMERGENCY"
48284,"EMS","UNCONSCIOUS SUBJECT"
48285,"Traffic","VEHICLE ACCIDENT -"
48286,"EMS","SUBJECT IN PAIN"
48287,"EMS","NAUSEA/VOMITING"
48288,"Fire","FIRE ALARM"
48289,"Fire","FIRE INVESTIGATION"
48290,"EMS","ASSAULT VICTIM"
48291,"Fire","FIRE SPECIAL SERVICE"
48292,"EMS","MEDICAL ALERT ALARM"
48293,"Traffic","VEHICLE ACCIDENT -"
48294,"EMS","DIZZINESS"
48295,"EMS","CVA/STROKE"
48296,"EMS","DEHYDRATION"
48297,"EMS","GENERAL WEAKNESS"
48298,"EMS","ALLERGIC REACTION"
48299,"EMS","UNKNOWN MEDICAL EMERGENCY"
48300,"Fire","FIRE ALARM"
48301,"EMS","CARDIAC EMERGENCY"
48302,"Traffic","DISABLED VEHICLE -"
48303,"EMS","RESPIRATORY EMERGENCY"
48304,"EMS","RESPIRATORY EMERGENCY"
48305,"Traffic","DISABLED VEHICLE -"
48306,"Fire","VEHICLE FIRE"
48307,"EMS","LACERATIONS"
48308,"Traffic","DISABLED VEHICLE -"
48309,"Traffic","VEHICLE FIRE -"
48310,"Traffic","VEHICLE ACCIDENT -"
48311,"Traffic","VEHICLE FIRE -"
48312,"Fire","GAS-ODOR/LEAK"
48313,"Traffic","VEHICLE ACCIDENT -"
48314,"EMS","ALTERED MENTAL STATUS"
48315,"Traffic","VEHICLE ACCIDENT -"
48316,"EMS","CARDIAC EMERGENCY"
48317,"Traffic","VEHICLE ACCIDENT -"
48318,"Traffic","VEHICLE ACCIDENT -"
48319,"EMS","FRACTURE"
48320,"Traffic","VEHICLE ACCIDENT -"
48321,"Traffic","VEHICLE ACCIDENT -"
48322,"Fire","FIRE ALARM"
48323,"Traffic","VEHICLE ACCIDENT -"
48324,"EMS","CARDIAC EMERGENCY"
48325,"EMS","NAUSEA/VOMITING"
48326,"EMS","UNKNOWN MEDICAL EMERGENCY"
48327,"Traffic","VEHICLE ACCIDENT -"
48328,"EMS","ALTERED MENTAL STATUS"
48329,"Traffic","VEHICLE ACCIDENT -"
48330,"Traffic","DISABLED VEHICLE -"
48331,"Traffic","ROAD OBSTRUCTION -"
48332,"Traffic","VEHICLE ACCIDENT -"
48333,"EMS","SUBJECT IN PAIN"
48334,"EMS","VEHICLE ACCIDENT"
48335,"Fire","VEHICLE ACCIDENT"
48336,"Traffic","DISABLED VEHICLE -"
48337,"Traffic","VEHICLE ACCIDENT -"
48338,"Traffic","VEHICLE ACCIDENT -"
48339,"EMS","UNKNOWN MEDICAL EMERGENCY"
48340,"EMS","ALTERED MENTAL STATUS"
48341,"EMS","SYNCOPAL EPISODE"
48342,"EMS","UNRESPONSIVE SUBJECT"
48343,"EMS","HEAD INJURY"
48344,"EMS","FALL VICTIM"
48345,"Fire","FIRE INVESTIGATION"
48346,"Traffic","VEHICLE ACCIDENT -"
48347,"EMS","CARDIAC ARREST"
48348,"Traffic","VEHICLE ACCIDENT -"
48349,"Traffic","VEHICLE ACCIDENT -"
48350,"Traffic","VEHICLE ACCIDENT -"
48351,"Traffic","VEHICLE ACCIDENT -"
48352,"EMS","HEAD INJURY"
48353,"Traffic","VEHICLE ACCIDENT -"
48354,"EMS","RESPIRATORY EMERGENCY"
48355,"Traffic","VEHICLE ACCIDENT -"
48356,"Traffic","VEHICLE ACCIDENT -"
48357,"Traffic","DISABLED VEHICLE -"
48358,"EMS","ALTERED MENTAL STATUS"
48359,"EMS","MEDICAL ALERT ALARM"
48360,"Fire","FIRE ALARM"
48361,"Traffic","VEHICLE ACCIDENT -"
48362,"EMS","FALL VICTIM"
48363,"EMS","DIZZINESS"
48364,"Traffic","DISABLED VEHICLE -"
48365,"Traffic","VEHICLE ACCIDENT -"
48366,"Traffic","VEHICLE ACCIDENT -"
48367,"EMS","UNKNOWN MEDICAL EMERGENCY"
48368,"Traffic","VEHICLE ACCIDENT -"
48369,"EMS","UNKNOWN MEDICAL EMERGENCY"
48370,"Traffic","VEHICLE ACCIDENT -"
48371,"EMS","FALL VICTIM"
48372,"EMS","SUBJECT IN PAIN"
48373,"Traffic","VEHICLE ACCIDENT -"
48374,"Fire","VEHICLE ACCIDENT"
48375,"EMS","VEHICLE ACCIDENT"
48376,"EMS","UNRESPONSIVE SUBJECT"
48377,"Fire","FIRE ALARM"
48378,"EMS","CARDIAC ARREST"
48379,"EMS","NAUSEA/VOMITING"
48380,"Traffic","DISABLED VEHICLE -"
48381,"EMS","GENERAL WEAKNESS"
48382,"EMS","CARDIAC EMERGENCY"
48383,"EMS","FALL VICTIM"
48384,"Fire","FIRE ALARM"
48385,"Fire","UNKNOWN TYPE FIRE"
48386,"EMS","HEAD INJURY"
48387,"Fire","FIRE ALARM"
48388,"Fire","FIRE ALARM"
48389,"EMS","TRANSFERRED CALL"
48390,"EMS","FALL VICTIM"
48391,"EMS","SEIZURES"
48392,"EMS","UNKNOWN MEDICAL EMERGENCY"
48393,"EMS","HEAD INJURY"
48394,"Traffic","VEHICLE ACCIDENT -"
48395,"EMS","CARDIAC EMERGENCY"
48396,"Traffic","VEHICLE ACCIDENT -"
48397,"Fire","FIRE INVESTIGATION"
48398,"EMS","CARDIAC EMERGENCY"
48399,"EMS","ABDOMINAL PAINS"
48400,"EMS","FALL VICTIM"
48401,"EMS","CVA/STROKE"
48402,"EMS","UNCONSCIOUS SUBJECT"
48403,"Fire","CARBON MONOXIDE DETECTOR"
48404,"EMS","DIABETIC EMERGENCY"
48405,"EMS","SUBJECT IN PAIN"
48406,"EMS","SEIZURES"
48407,"EMS","GENERAL WEAKNESS"
48408,"Traffic","VEHICLE ACCIDENT -"
48409,"Traffic","VEHICLE ACCIDENT -"
48410,"EMS","FALL VICTIM"
48411,"EMS","FALL VICTIM"
48412,"EMS","CARDIAC ARREST"
48413,"Fire","FIRE ALARM"
48414,"Traffic","HAZARDOUS ROAD CONDITIONS -"
48415,"Fire","FIRE ALARM"
48416,"EMS","ABDOMINAL PAINS"
48417,"EMS","CARDIAC ARREST"
48418,"EMS","RESPIRATORY EMERGENCY"
48419,"EMS","CARDIAC EMERGENCY"
48420,"Fire","FIRE ALARM"
48421,"EMS","VEHICLE ACCIDENT"
48422,"Fire","VEHICLE ACCIDENT"
48423,"Traffic","VEHICLE ACCIDENT -"
48424,"EMS","FALL VICTIM"
48425,"EMS","FALL VICTIM"
48426,"EMS","FRACTURE"
48427,"Fire","CARBON MONOXIDE DETECTOR"
48428,"EMS","MEDICAL ALERT ALARM"
48429,"EMS","HEAD INJURY"
48430,"Traffic","DISABLED VEHICLE -"
48431,"EMS","SUBJECT IN PAIN"
48432,"EMS","SUBJECT IN PAIN"
48433,"EMS","CARDIAC EMERGENCY"
48434,"Fire","FIRE ALARM"
48435,"Fire","FIRE ALARM"
48436,"Traffic","ROAD OBSTRUCTION -"
48437,"Traffic","ROAD OBSTRUCTION -"
48438,"EMS","ABDOMINAL PAINS"
48439,"EMS","BACK PAINS/INJURY"
48440,"Fire","VEHICLE FIRE"
48441,"Traffic","VEHICLE FIRE -"
48442,"Fire","FIRE ALARM"
48443,"Traffic","DISABLED VEHICLE -"
48444,"EMS","BACK PAINS/INJURY"
48445,"EMS","HEAD INJURY"
48446,"EMS","FALL VICTIM"
48447,"Traffic","VEHICLE ACCIDENT -"
48448,"Traffic","VEHICLE ACCIDENT -"
48449,"EMS","CARDIAC EMERGENCY"
48450,"EMS","FALL VICTIM"
48451,"Traffic","DISABLED VEHICLE -"
48452,"Traffic","VEHICLE ACCIDENT -"
48453,"EMS","RESPIRATORY EMERGENCY"
48454,"EMS","MEDICAL ALERT ALARM"
48455,"EMS","GENERAL WEAKNESS"
48456,"EMS","FALL VICTIM"
48457,"EMS","FALL VICTIM"
48458,"EMS","SUBJECT IN PAIN"
48459,"Fire","GAS-ODOR/LEAK"
48460,"Traffic","VEHICLE ACCIDENT -"
48461,"Traffic","VEHICLE ACCIDENT -"
48462,"EMS","FALL VICTIM"
48463,"EMS","SUBJECT IN PAIN"
48464,"EMS","SUBJECT IN PAIN"
48465,"Traffic","ROAD OBSTRUCTION -"
48466,"Traffic","VEHICLE ACCIDENT -"
48467,"EMS","CARDIAC EMERGENCY"
48468,"Traffic","DISABLED VEHICLE -"
48469,"EMS","MEDICAL ALERT ALARM"
48470,"Traffic","DISABLED VEHICLE -"
48471,"Traffic","DISABLED VEHICLE -"
48472,"EMS","MEDICAL ALERT ALARM"
48473,"Traffic","ROAD OBSTRUCTION -"
48474,"EMS","CARDIAC EMERGENCY"
48475,"EMS","RESPIRATORY EMERGENCY"
48476,"EMS","VEHICLE ACCIDENT"
48477,"EMS","SYNCOPAL EPISODE"
48478,"Traffic","VEHICLE ACCIDENT -"
48479,"Traffic","VEHICLE ACCIDENT -"
48480,"Traffic","VEHICLE ACCIDENT -"
48481,"Traffic","DISABLED VEHICLE -"
48482,"Traffic","VEHICLE ACCIDENT -"
48483,"EMS","DIABETIC EMERGENCY"
48484,"EMS","CARDIAC EMERGENCY"
48485,"EMS","RESPIRATORY EMERGENCY"
48486,"Traffic","VEHICLE ACCIDENT -"
48487,"EMS","FALL VICTIM"
48488,"Traffic","ROAD OBSTRUCTION -"
48489,"EMS","FALL VICTIM"
48490,"Traffic","VEHICLE ACCIDENT -"
48491,"Traffic","VEHICLE ACCIDENT -"
48492,"Traffic","VEHICLE ACCIDENT -"
48493,"Traffic","VEHICLE ACCIDENT -"
48494,"Traffic","VEHICLE ACCIDENT -"
48495,"Traffic","VEHICLE ACCIDENT -"
48496,"EMS","FALL VICTIM"
48497,"EMS","VEHICLE ACCIDENT"
48498,"Traffic","VEHICLE ACCIDENT -"
48499,"EMS","CARDIAC EMERGENCY"
48500,"Traffic","VEHICLE ACCIDENT -"
48501,"Traffic","DISABLED VEHICLE -"
48502,"EMS","SUBJECT IN PAIN"
48503,"Fire","FIRE ALARM"
48504,"EMS","CARDIAC EMERGENCY"
48505,"EMS","SYNCOPAL EPISODE"
48506,"Fire","FIRE ALARM"
48507,"Traffic","VEHICLE ACCIDENT -"
48508,"EMS","DIZZINESS"
48509,"EMS","RESPIRATORY EMERGENCY"
48510,"EMS","CARDIAC ARREST"
48511,"Traffic","DISABLED VEHICLE -"
48512,"Traffic","VEHICLE ACCIDENT -"
48513,"EMS","CVA/STROKE"
48514,"Traffic","DISABLED VEHICLE -"
48515,"EMS","NAUSEA/VOMITING"
48516,"EMS","RESPIRATORY EMERGENCY"
48517,"Traffic","VEHICLE ACCIDENT -"
48518,"EMS","SEIZURES"
48519,"EMS","UNKNOWN MEDICAL EMERGENCY"
48520,"Traffic","VEHICLE ACCIDENT -"
48521,"Traffic","VEHICLE ACCIDENT -"
48522,"EMS","VEHICLE ACCIDENT"
48523,"Fire","FIRE POLICE NEEDED"
48524,"EMS","FALL VICTIM"
48525,"Traffic","VEHICLE ACCIDENT -"
48526,"EMS","VEHICLE ACCIDENT"
48527,"Fire","VEHICLE ACCIDENT"
48528,"EMS","GENERAL WEAKNESS"
48529,"Traffic","VEHICLE ACCIDENT -"
48530,"EMS","GENERAL WEAKNESS"
48531,"EMS","HEAD INJURY"
48532,"EMS","RESPIRATORY EMERGENCY"
48533,"Traffic","ROAD OBSTRUCTION -"
48534,"EMS","DIABETIC EMERGENCY"
48535,"Traffic","ROAD OBSTRUCTION -"
48536,"EMS","BACK PAINS/INJURY"
48537,"Traffic","DISABLED VEHICLE -"
48538,"EMS","RESPIRATORY EMERGENCY"
48539,"EMS","HEAD INJURY"
48540,"EMS","DIZZINESS"
48541,"EMS","CVA/STROKE"
48542,"Fire","FIRE ALARM"
48543,"Traffic","VEHICLE ACCIDENT -"
48544,"EMS","CARDIAC EMERGENCY"
48545,"EMS","SEIZURES"
48546,"EMS","HEMORRHAGING"
48547,"EMS","MEDICAL ALERT ALARM"
48548,"EMS","SUBJECT IN PAIN"
48549,"EMS","HEAD INJURY"
48550,"EMS","RESPIRATORY EMERGENCY"
48551,"EMS","CVA/STROKE"
48552,"EMS","FALL VICTIM"
48553,"EMS","SUBJECT IN PAIN"
48554,"EMS","RESPIRATORY EMERGENCY"
48555,"Fire","ELECTRICAL FIRE OUTSIDE"
48556,"EMS","SYNCOPAL EPISODE"
48557,"Traffic","VEHICLE ACCIDENT -"
48558,"Fire","FIRE INVESTIGATION"
48559,"EMS","CVA/STROKE"
48560,"EMS","SUBJECT IN PAIN"
48561,"Traffic","ROAD OBSTRUCTION -"
48562,"EMS","ALTERED MENTAL STATUS"
48563,"EMS","UNKNOWN MEDICAL EMERGENCY"
48564,"Fire","FIRE ALARM"
48565,"Traffic","DISABLED VEHICLE -"
48566,"Traffic","VEHICLE ACCIDENT -"
